Frequency (Hz)	Level (dB)
771.830750	-62.494740
772.503662	-61.953552
773.176575	-61.186646
773.849487	-61.122513
774.522400	-61.002537
775.195312	-61.479580
775.868225	-61.868790
776.541138	-61.424236
777.214050	-60.691936
777.886963	-60.303112
778.559875	-60.323795
779.232788	-59.868267
779.905701	-58.279652
780.578613	-55.251377
781.251526	-51.916138
781.924438	-49.801041
782.597351	-48.092869
783.270264	-41.048489
783.943176	-33.590054
784.616089	-32.298798
785.289001	-34.956173
785.961914	-38.294239
786.634827	-42.966221
787.307739	-45.863178
787.980652	-46.793533
788.653564	-46.928604
789.326477	-47.399559
789.999390	-48.880665
790.672302	-50.557053
791.345215	-51.729492
792.018127	-52.161137
792.691040	-52.374889
793.363953	-52.713249
794.036865	-53.049625
794.709778	-53.162888
795.382690	-53.096992
796.055603	-52.929111
796.728516	-52.966236
797.401428	-53.044994
798.074341	-52.886658
798.747253	-52.651890
799.420166	-52.898800
800.093079	-53.647160
800.765991	-55.071777
801.438904	-56.981457
802.111816	-58.824921
802.784729	-59.364304
803.457642	-59.772141
804.130554	-59.878101
804.803467	-59.608116
805.476379	-59.194706
806.149292	-58.288765
806.822205	-57.642170
807.495117	-57.387463
808.168030	-57.554535
808.840942	-57.549667
809.513855	-57.482758
810.186768	-57.336582
810.859680	-57.152889
811.532593	-57.518421
812.205505	-58.078743
812.878418	-58.405853
813.551331	-58.614357
814.224243	-58.682911
814.897156	-57.993046
815.570068	-58.462833
816.242981	-60.521637
816.915894	-61.274128
817.588806	-61.993763
818.261719	-62.598202
818.934631	-62.937679
819.607544	-63.171394
820.280457	-63.346817
820.953369	-62.668968
821.626282	-60.771130
822.299194	-56.454975
822.972107	-49.844444
823.645020	-43.406620
824.317932	-42.160034
824.990845	-47.044201
825.663757	-53.158276
826.336670	-54.867954
827.009583	-54.759018
827.682495	-55.411587
828.355408	-56.706295
829.028320	-58.205715
829.701233	-59.282650
830.374146	-60.441521
831.047058	-61.826698
831.719971	-62.628651
832.392883	-63.649834
833.065796	-64.281212
833.738708	-64.650040
834.411621	-64.770111
835.084534	-65.303223
835.757446	-65.844490
836.430359	-66.269646
837.103271	-66.515503
837.776184	-66.337814
838.449097	-66.382591
839.122009	-65.950333
839.794922	-66.709740
840.467834	-66.964767
841.140747	-67.236115
841.813660	-67.511253
842.486572	-68.159149
843.159485	-68.526207
843.832397	-68.970680
844.505310	-68.987411
845.178223	-69.329613
845.851135	-69.062660
846.524048	-68.611206
847.196960	-68.400192
847.869873	-68.790215
848.542786	-68.891197
849.215698	-68.567955
849.888611	-68.741867
